Timestamp	What's your age group?	What's your highest degree?	If applicable, what field of study was your highest degree in?	Did you finish the course?	How many years have you been programming?	How many hours, on average, did you spend per week on the course? [Part 1: weeks 1 & 2 with Prof. Odersky]	How difficult did you find the course? [Part 1: weeks 1 & 2 with Prof. Odersky]	Do you feel the course was worth the time you invested in it?	Would you take a follow-up functional programming in Scala course, if it were offered?	What is your preferred editor, for use outside of this course?	What editor did you end up using for the majority of the course?	What experience do you have with other programming languages or paradigms? [Java]	What experience do you have with other programming languages or paradigms? [C / C++ / Objective-C]	What experience do you have with other programming languages or paradigms? [Python / Ruby / Perl / other scripting language]	What experience do you have with other programming languages or paradigms? [C#/.NET]	What experience do you have with other programming languages or paradigms? [Objective-C]	What experience do you have with other programming languages or paradigms? [JavaScript]	What experience do you have with other programming languages or paradigms? [Haskell / OCaml / ML / F#]	What interested you in the Principles of Reactive Programming course?	Where do you plan to apply what you've learned in this course?	How difficult did you find the homework assignments? [Part 1: weeks 1 & 2 with Prof. Odersky]	What experience do you have with other programming languages or paradigms? [Lisp / Scheme / Clojure]	What country do you live in?	What's your gender?	How difficult did you find the course? [Part 2: weeks 3 & 4 with Prof. Meijer]	How difficult did you find the course? [Part 3: weeks 5-7 with Dr. Kuhn]	How many hours, on average, did you spend per week on the course? [Part 2: weeks 3 & 4 with Prof. Meijer]	How many hours, on average, did you spend per week on the course? [Part 3: weeks 5-7 with Dr. Kuhn]	How difficult did you find the homework assignments? [Part 2: weeks 3 & 4 with Prof. Meijer]	How difficult did you find the homework assignments? [Part 3: weeks 5-7 with Dr. Kuhn]
1/16/2014 18:50:35	35-44	Master's Degree (or equivalent)	Computer Science	Yes	15-20 years	6-8 hours	4	4		Visual Studio	Eclipse	I have some experience writing code	I have some experience writing code	I have some experience writing code	I'm fluent		I have some experience writing code	I've seen and understand some code	Personal Interest/Curiosity	No application plans, attended for general interest	4	No experience / not seen it at all	France	Male	4	4	10+ hours	8-10 hours	4	4
1/16/2014 18:50:50	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	No	7-10 years	8-10 hours	4	5		IntelliJ	IntelliJ	I'm fluent	I've seen and understand some code	I've seen and understand some code	No experience / not seen it at all		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	4	No experience / not seen it at all	Russian Federation	Female	4	4	8-10 hours	8-10 hours	4	4
1/16/2014 18:50:52	18-24	Bachelor's Degree (or equivalent)	Computer Science	Yes	10-15 years	1-4 hours	2	4		IntelliJ	Eclipse	I'm an expert	I'm fluent	I have some experience writing code	I have some experience writing code		I have some experience writing code	I've seen and understand some code	Personal Interest/Curiosity	Team project at work	2	I have some experience writing code	United States	Male	2	2	4-6 hours	4-6 hours	2	2
1/16/2014 18:51:06	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	0-1 years	4-6 hours	2	5		vim	IntelliJ	No experience / not seen it at all	I've seen and understand some code	I have some experience writing code	No experience / not seen it at all		I've seen and understand some code	I have some experience writing code	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	Ukraine	Male	4	4	8-10 hours	10+ hours	4	4
1/16/2014 18:51:06	18-24	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	3-5 years	1-4 hours	3	4		Eclipse	Eclipse	I'm fluent	I have some experience writing code	I'm fluent	No experience / not seen it at all		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Individual project at work	2	No experience / not seen it at all	Ukraine	Male	3	4	4-6 hours	4-6 hours	3	4
1/16/2014 18:51:07	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	5-7 years	1-4 hours	2	4		IntelliJ	Eclipse	I'm an expert	No experience / not seen it at all	I have some experience writing code	No experience / not seen it at all		I'm fluent	No experience / not seen it at all	Helps With Profession	Team project at work	2	No experience / not seen it at all	Canada	Male	5	3	8-10 hours	6-8 hours	5	3
1/16/2014 18:51:19	35-44	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	20+ years	6-8 hours	3	5		netbeans	Eclipse	I'm an expert	I've seen and understand some code	No experience / not seen it at all	No experience / not seen it at all		I have some experience writing code	I have some experience writing code	Personal Interest/Curiosity	Personal projects	4	No experience / not seen it at all	United Kingdom	Male	4	3	6-8 hours	6-8 hours	4	4
1/16/2014 18:51:29	35-44	Bachelor's Degree (or equivalent)	Computer Science	Yes	20+ years	6-8 hours	3	4		Sublime Text	Eclipse	I have some experience writing code	I have some experience writing code	I'm an expert	I've seen and understand some code		I'm an expert	I've seen and understand some code	Personal Interest/Curiosity	No application plans, attended for general interest	3	I've seen and understand some code	United States	Male	4	4	8-10 hours	10+ hours	4	4
1/16/2014 18:51:31	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	7-10 years	6-8 hours	3	4		IntelliJ	Eclipse	I'm fluent	I'm fluent	I have some experience writing code	I've seen and understand some code		I've seen and understand some code	No experience / not seen it at all	Helps With Profession	No application plans, attended for general interest	3	No experience / not seen it at all	Poland	Male	3	4	6-8 hours	8-10 hours	3	4
1/16/2014 18:51:49	25-34	Master's Degree (or equivalent)	Computer Science	No	10-15 years	1-4 hours	5	4		Eclipse	Eclipse	I'm an expert	I'm fluent	I have some experience writing code	I'm fluent		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	Team project at work	5	No experience / not seen it at all	Ukraine	Male	5	5	1-4 hours	1-4 hours	5	5
1/16/2014 18:51:52	25-34	Bachelor's Degree (or equivalent)	Physics	No	1-2 years	6-8 hours	4	3		vim	Eclipse	I have some experience writing code	I've seen and understand some code	I've seen and understand some code	I've seen and understand some code		I've seen and understand some code	I've seen and understand some code	Personal Interest/Curiosity	No application plans, attended for general interest	4	I've seen and understand some code	Canada	Male	4	4	4-6 hours	1-4 hours	4	4
1/16/2014 18:51:57	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	5-7 years	4-6 hours	2	4		Sublime Text	Eclipse	I'm an expert	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I've seen and understand some code	I have some experience writing code	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	Switzerland	Male	2	2	6-8 hours	4-6 hours	4	3
1/16/2014 18:52:03	25-34	Master's Degree (or equivalent)	Computer Science	No	15-20 years	1-4 hours	3	4		IntelliJ	IntelliJ	I'm an expert	I have some experience writing code	I'm fluent	I'm fluent		I'm an expert	No experience / not seen it at all	Personal Interest/Curiosity	Individual project at work	3	I have some experience writing code	Switzerland	Male	3	3	4-6 hours	1-4 hours	3	5
1/16/2014 18:52:09	25-34	Doctorate Degree (or equivalent)	Computer Science	Yes	15-20 years	4-6 hours	2	4		emacs	Eclipse	I have some experience writing code	I have some experience writing code	I'm an expert	I've seen and understand some code		I have some experience writing code	I have some experience writing code	Personal Interest/Curiosity	Team project at work	2	I've seen and understand some code	France	Male	5	3	6-8 hours	4-6 hours	5	4
1/16/2014 18:52:09	45-54	Bachelor's Degree (or equivalent)	Computer Science	No	20+ years	6-8 hours	4	2		Eclipse	Eclipse	I'm an expert	I'm fluent	I'm fluent	I have some experience writing code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Team project at work	5	I've seen and understand some code	United States	Male	1	1	1-4 hours	1-4 hours	1	1
1/16/2014 18:52:09	18-24	Master's Degree (or equivalent)	Mechanical Engineering	Yes	3-5 years	4-6 hours	3	5		Visual Studio	Eclipse	I have some experience writing code	I have some experience writing code	I'm fluent	I'm fluent		I'm fluent	I've seen and understand some code	Personal Interest/Curiosity	Individual project at work	4	I've seen and understand some code	Russian Federation	Male	3	3	8-10 hours	8-10 hours	5	5
1/16/2014 18:52:15	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	3-5 years	8-10 hours	4	5		Sublime Text	Eclipse	I'm fluent	I have some experience writing code	No experience / not seen it at all	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Individual project at work	4	No experience / not seen it at all	Germany	Male	4	5	8-10 hours	10+ hours	4	5
1/16/2014 18:52:21	25-34	Bachelor's Degree (or equivalent)	Electrical Engineering	Yes	3-5 years	4-6 hours	3	5		IntelliJ	IntelliJ	I'm fluent	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Team project at work	2	I've seen and understand some code	Russian Federation	Male	3	3	8-10 hours	8-10 hours	3	3
1/16/2014 18:52:40	18-24	Master's Degree (or equivalent)	Physics	No	1-2 years	4-6 hours	1	5		IntelliJ	IntelliJ	I'm fluent	I've seen and understand some code	I've seen and understand some code	No experience / not seen it at all		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Team project at work	2	No experience / not seen it at all	Russian Federation	Male	2	3	6-8 hours	4-6 hours	3	3
1/16/2014 18:52:42	35-44	Master's Degree (or equivalent)	Computer/Software Engineering	No	7-10 years	8-10 hours	5	3		Eclipse	Eclipse	I'm an expert	I have some experience writing code	I have some experience writing code	I'm fluent		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	5	No experience / not seen it at all	Switzerland	Male	5	3	8-10 hours	6-8 hours	5	4
1/16/2014 18:52:43	25-34	Master's Degree (or equivalent)	Communication Systems	Yes	10-15 years	4-6 hours	3	5		Eclipse	Eclipse	I have some experience writing code	I have some experience writing code	I have some experience writing code	No experience / not seen it at all		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	2	No experience / not seen it at all	Switzerland	Male	4	3	8-10 hours	6-8 hours	4	3
1/16/2014 18:52:47	35-44	Some College (or equivalent)	Computer/Software Engineering	No	20+ years	4-6 hours	4	4		Eclipse	Eclipse	I'm an expert	I'm fluent	I have some experience writing code	I'm fluent		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Team project at work	5	I have some experience writing code	Italy	Male	3	3	1-4 hours	1-4 hours	4	4
1/16/2014 18:52:55	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	7-10 years	4-6 hours	2	5		Visual Studio	IntelliJ	I've seen and understand some code	I have some experience writing code	I have some experience writing code	I'm an expert		I'm fluent	I have some experience writing code	Helps With Profession	Personal projects	4	I have some experience writing code	United States	Male	3	4	4-6 hours	6-8 hours	3	4
1/16/2014 18:53:07	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	No	3-5 years	8-10 hours	3	3		emacs	Eclipse	I'm fluent	I've seen and understand some code	I have some experience writing code	I'm fluent		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	I've seen and understand some code	France	Male	4	5	10+ hours	1-4 hours	4	5
1/16/2014 18:53:10	35-44	Doctorate Degree (or equivalent)	Physics	Yes	15-20 years	4-6 hours	3	5		IntelliJ	gedit	I'm fluent	I have some experience writing code	I'm an expert	I have some experience writing code		I've seen and understand some code	I have some experience writing code	Personal Interest/Curiosity	Team project at work	4	I have some experience writing code	Denmark	Male	4	4	4-6 hours	4-6 hours	4	4
1/16/2014 18:53:10	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	5-7 years	4-6 hours	3	5		Eclipse	Eclipse	I'm fluent	I'm fluent	I have some experience writing code	I have some experience writing code		I've seen and understand some code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	Turkey	Male	4	4	8-10 hours	8-10 hours	4	4
1/16/2014 18:53:12	25-34	Master's Degree (or equivalent)	Computer Science	Yes	5-7 years	1-4 hours	3	5		vim	Eclipse	I'm fluent	I'm fluent	I've seen and understand some code	I've seen and understand some code		I've seen and understand some code	I have some experience writing code	Helps With Profession	University projects	3	No experience / not seen it at all	Hungary	Male	3	3	4-6 hours	1-4 hours	4	3
1/16/2014 18:53:23	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	5-7 years	8-10 hours	3	5		IntelliJ	IntelliJ	I'm an expert	I've seen and understand some code	I've seen and understand some code	I have some experience writing code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Team project at work	3	No experience / not seen it at all	Germany	Male	4	4	10+ hours	8-10 hours	5	4
1/16/2014 18:53:40	25-34	Master's Degree (or equivalent)	Computer Science	Yes	5-7 years	6-8 hours	4	5		Sublime Text	Eclipse	I'm fluent	I have some experience writing code	I have some experience writing code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Team project at work	3	No experience / not seen it at all	United Kingdom	Male	4	4	6-8 hours	6-8 hours	3	3
1/16/2014 18:53:40	25-34	Master's Degree (or equivalent)	Physics	No	7-10 years	10+ hours	4	3		IntelliJ	IntelliJ	I'm an expert	I'm fluent	I'm fluent	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	5	I've seen and understand some code	Russian Federation	Male	4	1	10+ hours	1-4 hours	5	1
1/16/2014 18:53:42	35-44	Bachelor's Degree (or equivalent)	Liberal Arts	Yes	10-15 years	4-6 hours	3	5		vim	vim	I have some experience writing code	I have some experience writing code	I'm an expert	I have some experience writing code		I'm an expert	I have some experience writing code	Helps With Profession	Personal projects	3	I have some experience writing code	United States	Male	3	3	6-8 hours	6-8 hours	3	3
1/16/2014 18:53:43	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	7-10 years	4-6 hours	2	4		Sublime Text	Eclipse	I'm fluent	I have some experience writing code	I'm fluent	I have some experience writing code		I'm fluent	I've seen and understand some code	Personal Interest/Curiosity	No application plans, attended for general interest	2	I have some experience writing code	Switzerland	Male	3	4	4-6 hours	8-10 hours	3	4
1/16/2014 18:53:44	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	No	10-15 years	6-8 hours	3	5		IntelliJ	IntelliJ	I'm an expert	I've seen and understand some code	I've seen and understand some code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	Norway	Male	3	3	1-4 hours	1-4 hours	3	3
1/16/2014 18:53:45	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	5-7 years	6-8 hours	3	5		Eclipse	Eclipse	I'm an expert	I'm fluent	I've seen and understand some code	No experience / not seen it at all		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	Team project at work	3	I have some experience writing code	Spain	Male	4	3	6-8 hours	6-8 hours	4	3
1/16/2014 18:53:50	35-44	Master's Degree (or equivalent)	Computer/Software Engineering	No	10-15 years	4-6 hours	3	3		IntelliJ	Eclipse	I'm an expert	I've seen and understand some code	I have some experience writing code	No experience / not seen it at all		I have some experience writing code	I've seen and understand some code	Helps With Profession	Individual project at work	4	I've seen and understand some code	Germany	Male	3	3	1-4 hours	1-4 hours	4	4
1/16/2014 18:53:54	45-54	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	10-15 years	4-6 hours	3	5		Eclipse	Eclipse	I'm fluent	I'm fluent	I have some experience writing code	No experience / not seen it at all		No experience / not seen it at all	I've seen and understand some code	Personal Interest/Curiosity	Individual project at work	3	I've seen and understand some code	Netherlands	Male	3	4	6-8 hours	8-10 hours	4	4
1/16/2014 18:54:02	35-44	Master's Degree (or equivalent)	Electrical Engineering	Yes	10-15 years	10+ hours	3	5		emacs	Eclipse	I'm fluent	I have some experience writing code	I'm fluent	No experience / not seen it at all		I've seen and understand some code	I'm fluent	Personal Interest/Curiosity	Personal projects	3	I have some experience writing code	United States	Male	4	4	10+ hours	10+ hours	4	3
1/16/2014 18:54:18	35-44	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	10-15 years	8-10 hours	3	5		Eclipse	Eclipse	I'm fluent	I have some experience writing code	I've seen and understand some code	I'm fluent		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	4	No experience / not seen it at all	United States	Male	5	4	10+ hours	8-10 hours	5	4
1/16/2014 18:54:26	35-44	Some College (or equivalent)	Statistics/Mathematics	Yes	7-10 years	8-10 hours	3	5		IntelliJ	IntelliJ	I have some experience writing code	I have some experience writing code	I've seen and understand some code	I'm an expert		I have some experience writing code	I have some experience writing code	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	United States	Male	3	4	8-10 hours	10+ hours	3	4
1/16/2014 18:54:28	18-24	Some College (or equivalent)	Computer Science	No	5-7 years	1-4 hours	2	5		IntelliJ	IntelliJ	I'm an expert	No experience / not seen it at all	I have some experience writing code	No experience / not seen it at all		I have some experience writing code	I've seen and understand some code	Personal Interest/Curiosity	No application plans, attended for general interest	4	No experience / not seen it at all	Argentina	Male	2	2	1-4 hours	1-4 hours	4	4
1/16/2014 18:54:41	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	3-5 years	4-6 hours	1	5		Visual Studio	Eclipse	I'm fluent	I have some experience writing code	No experience / not seen it at all	I'm an expert		I'm an expert	I've seen and understand some code	Personal Interest/Curiosity	Personal projects	2	No experience / not seen it at all	Portugal	Male	4	4	8-10 hours	8-10 hours	4	4
1/16/2014 18:54:48	35-44	Bachelor's Degree (or equivalent)	Statistics/Mathematics	Yes	15-20 years	6-8 hours	3	5		IntelliJ	IntelliJ	I'm an expert	I have some experience writing code	I have some experience writing code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Team project at work	3	I have some experience writing code	United Kingdom	Male	4	3	8-10 hours	8-10 hours	4	4
1/16/2014 18:54:58	25-34	Master's Degree (or equivalent)	Statistics/Mathematics	Yes	5-7 years	4-6 hours	3	5		vim	vim	I'm fluent	I've seen and understand some code	I'm fluent	No experience / not seen it at all		I'm an expert	No experience / not seen it at all	Personal Interest/Curiosity	Team project at work	2	I've seen and understand some code	United States	Male	4	3	8-10 hours	6-8 hours	4	3
1/16/2014 18:55:00	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	7-10 years	8-10 hours	3	4		vim	Eclipse	I'm fluent	I'm fluent	I have some experience writing code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Team project at work	3	No experience / not seen it at all	Canada	Female	3	3	10+ hours	10+ hours	4	4
1/16/2014 18:55:04	18-24	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	7-10 years	4-6 hours	2	4		Eclipse	Eclipse	I'm an expert	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I've seen and understand some code	I've seen and understand some code	Helps With Profession	Personal projects	2	No experience / not seen it at all	Germany	Male	3	4	6-8 hours	8-10 hours	3	4
1/16/2014 18:55:12	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	0-1 years	6-8 hours	4	4		IntelliJ	Eclipse	I'm fluent	I've seen and understand some code	I've seen and understand some code	No experience / not seen it at all		I've seen and understand some code	I've seen and understand some code	Personal Interest/Curiosity	Team project at work	4	No experience / not seen it at all	Argentina	Male	4	4	10+ hours	8-10 hours	5	4
1/16/2014 18:55:21	45-54	Bachelor's Degree (or equivalent)	Computer Science	Yes	20+ years	1-4 hours	3	5		TextMate	TextMate	I'm an expert	I'm fluent	I'm fluent	I have some experience writing code		I'm an expert	I've seen and understand some code	Personal Interest/Curiosity	Personal projects	3	I've seen and understand some code	United States	Male	4	3	4-6 hours	1-4 hours	3	3
1/16/2014 18:55:26	18-24	High School (or equivalent)	Computer Science	Yes	5-7 years	10+ hours	3	5		Eclipse	Eclipse	I'm an expert	I've seen and understand some code	I've seen and understand some code	I've seen and understand some code		I've seen and understand some code	I have some experience writing code	Personal Interest/Curiosity	No application plans, attended for general interest	3	I've seen and understand some code	Germany	Male	3	3	10+ hours	10+ hours	3	3
1/16/2014 18:55:37	25-34	Master's Degree (or equivalent)	Computer Science	No	7-10 years	1-4 hours	1	5		IntelliJ	IntelliJ	I'm an expert	I have some experience writing code	I've seen and understand some code	I have some experience writing code		I have some experience writing code	I have some experience writing code	Helps With Profession	Individual project at work	2	No experience / not seen it at all	Slovakia	Male	4	1	6-8 hours	1-4 hours	3	2
1/16/2014 18:55:38	25-34	Master's Degree (or equivalent)	Computer Science	Yes	10-15 years	1-4 hours	2	5		IntelliJ	IntelliJ	I have some experience writing code	I'm fluent	I've seen and understand some code	I'm fluent		I have some experience writing code	I have some experience writing code	Helps With Profession	Team project at work	2	I've seen and understand some code	United States	Male	2	2	1-4 hours	1-4 hours	2	2
1/16/2014 18:55:44	45-54	Doctorate Degree (or equivalent)	Linguistics	Yes	15-20 years	4-6 hours	3	5		Eclipse	Eclipse	I'm an expert	I have some experience writing code	I'm fluent	No experience / not seen it at all		I'm fluent	No experience / not seen it at all	Helps With Profession	Team project at work	3	I'm fluent	United States	Male	3	3	6-8 hours	10+ hours	4	4
1/16/2014 18:55:49	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	10-15 years	4-6 hours	2	4		IntelliJ	IntelliJ	I'm fluent	I'm fluent	I have some experience writing code	I've seen and understand some code		I have some experience writing code	I'm fluent	Personal Interest/Curiosity	Personal projects	3	I've seen and understand some code	Poland	Male	4	4	8-10 hours	8-10 hours	3	3
1/16/2014 18:55:54	45-54	Doctorate Degree (or equivalent)	Computer/Software Engineering	Yes	20+ years	10+ hours	3	4		Eclipse	Eclipse	I'm fluent	I have some experience writing code	No experience / not seen it at all	I have some experience writing code		No experience / not seen it at all	No experience / not seen it at all	Helps With Profession	No application plans, attended for general interest	4	No experience / not seen it at all	France	Male	3	3	10+ hours	10+ hours	4	4
1/16/2014 18:55:57	45-54	Bachelor's Degree (or equivalent)	Statistics/Mathematics	No	0-1 years	10+ hours	3	5		Eclipse	Eclipse	I've seen and understand some code	I've seen and understand some code	I've seen and understand some code	I've seen and understand some code		I've seen and understand some code	I have some experience writing code	Helps With Profession	Personal projects	3	I've seen and understand some code	Hungary	Female	3	3	1-4 hours	1-4 hours	3	3
1/16/2014 18:56:04	35-44	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	10-15 years	10+ hours	3	4		Eclipse	Eclipse	I'm an expert	I've seen and understand some code	I've seen and understand some code	No experience / not seen it at all		I've seen and understand some code	No experience / not seen it at all	Helps With Profession	Team project at work	5	No experience / not seen it at all	France	Male	4	3	10+ hours	10+ hours	5	4
1/16/2014 18:56:08	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	10-15 years	1-4 hours	3	5		IntelliJ	IntelliJ	I'm an expert	I have some experience writing code	I have some experience writing code	No experience / not seen it at all		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Team project at work	3	I've seen and understand some code	United States	Male	3	3	4-6 hours	6-8 hours	4	4
1/16/2014 18:56:08	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	10-15 years	4-6 hours	3	4		IntelliJ	Eclipse	I've seen and understand some code	I have some experience writing code	I'm fluent	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	No application plans, attended for general interest	3	No experience / not seen it at all	Russian Federation	Male	3	3	4-6 hours	4-6 hours	3	3
1/16/2014 18:56:13	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	15-20 years	4-6 hours	3	5		Eclipse	Eclipse	I'm an expert	I have some experience writing code	I've seen and understand some code	No experience / not seen it at all		I've seen and understand some code	No experience / not seen it at all	Helps With Profession	Personal projects	3	No experience / not seen it at all	Germany	Male	3	3	10+ hours	10+ hours	3	3
1/16/2014 18:56:22	25-34	Bachelor's Degree (or equivalent)	Computer Science	No	1-2 years	4-6 hours	4	4		IntelliJ	Eclipse	I'm an expert	I'm fluent	I've seen and understand some code	No experience / not seen it at all		I have some experience writing code	I've seen and understand some code	Helps With Profession	Personal projects	5	No experience / not seen it at all	Ireland	Male	4	3	6-8 hours	1-4 hours	5	3
1/16/2014 18:56:25	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	10-15 years	1-4 hours	3	4		IntelliJ	IntelliJ	I'm an expert	I have some experience writing code	I'm fluent	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	I've seen and understand some code	Canada	Male	3	3	6-8 hours	8-10 hours	3	4
1/16/2014 18:56:31	25-34	Bachelor's Degree (or equivalent)	Statistics/Mathematics	Yes	7-10 years	4-6 hours	3	5		Eclipse	Eclipse	I'm an expert	I've seen and understand some code	I have some experience writing code	I'm an expert		I'm fluent	No experience / not seen it at all	Helps With Profession	Team project at work	3	No experience / not seen it at all	Canada	Male	3	3	6-8 hours	10+ hours	4	3
1/16/2014 18:57:04	35-44	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	7-10 years	6-8 hours	3	5		IntelliJ	Sublime Text	I'm an expert	I've seen and understand some code	I've seen and understand some code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	4	No experience / not seen it at all	Belarus	Male	4	4	8-10 hours	10+ hours	4	5
1/16/2014 18:57:04	35-44	Master's Degree (or equivalent)	Electrical Engineering	No	15-20 years	6-8 hours	3	5		emacs	Eclipse	I'm an expert	I've seen and understand some code	I have some experience writing code	I'm fluent		I've seen and understand some code	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	4	I have some experience writing code	United Kingdom	Male	4	3	6-8 hours	1-4 hours	4	3
1/16/2014 18:57:09	18-24	Some College (or equivalent)	Life Sciences	Yes	5-7 years	4-6 hours	3	5		Eclipse	Eclipse	I have some experience writing code	I have some experience writing code	I have some experience writing code	I've seen and understand some code		I've seen and understand some code	I've seen and understand some code	Personal Interest/Curiosity	Personal projects	2	No experience / not seen it at all	Germany	Male	4	3	6-8 hours	4-6 hours	4	2
1/16/2014 18:57:09	35-44	Master's Degree (or equivalent)	Life Sciences	Yes	10-15 years	6-8 hours	2	5		IntelliJ	IntelliJ	I've seen and understand some code	No experience / not seen it at all	I'm an expert	No experience / not seen it at all		I've seen and understand some code	No experience / not seen it at all	Helps With Profession	Team project at work	2	No experience / not seen it at all	United States	Male	3	3	8-10 hours	10+ hours	3	4
1/16/2014 18:57:12	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	15-20 years	1-4 hours	2	5		IntelliJ	IntelliJ	I'm an expert	I have some experience writing code	I have some experience writing code	I'm an expert		I'm fluent	I have some experience writing code	Personal Interest/Curiosity	Team project at work	2	I have some experience writing code	Canada	Male	2	2	1-4 hours	4-6 hours	2	3
1/16/2014 18:57:20	18-24	Bachelor's Degree (or equivalent)	Computer Science	Yes	5-7 years	1-4 hours	3	3		Eclipse	Eclipse	I'm fluent	I have some experience writing code	I have some experience writing code	I have some experience writing code		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	3	No experience / not seen it at all	Switzerland	Male	4	4	4-6 hours	1-4 hours	4	4
1/16/2014 18:57:29	35-44	Doctorate Degree (or equivalent)	Physics	Yes	20+ years	4-6 hours	3	5		Eclipse	Eclipse	I'm fluent	I have some experience writing code	I'm fluent	No experience / not seen it at all		I've seen and understand some code	I have some experience writing code	Personal Interest/Curiosity	No application plans, attended for general interest	3	I have some experience writing code	Belgium	Male	3	3	4-6 hours	4-6 hours	3	4
1/16/2014 18:57:29	25-34	High School (or equivalent)	general	Yes	7-10 years	1-4 hours	2	5		emacs	Eclipse	I'm fluent	I've seen and understand some code	I've seen and understand some code	No experience / not seen it at all		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	Team project at work	1	I have some experience writing code	Czech Republic	Male	4	3	6-8 hours	6-8 hours	5	3
1/16/2014 18:57:36	18-24	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	3-5 years	6-8 hours	3	4		Visual Studio	Eclipse	I've seen and understand some code	I'm fluent	I've seen and understand some code	I'm an expert		I'm fluent	I've seen and understand some code	Personal Interest/Curiosity	University projects	3	I've seen and understand some code	Russian Federation	Male	3	4	8-10 hours	10+ hours	3	4
